m,a,e,c_h,cost_policy,cost_fixed_threshold,cost_amount_blind,cost_headline_B_system,cost_trivial,trivial,savings_vs_trivial,gap_vs_fixed,gap_vs_amount_blind,delta_headline_minus_ours_per_1k_txn,mix_approve,mix_stepup,mix_block
0.25,0.05,0.6,15.0,156161.0,221426.0,156090.0,144328.0,514906.0,approve-all,0.6967,0.1268,-0.0001,-148.0,0.833,0.15,0.016
0.25,0.05,0.6,30.0,164297.0,231746.0,163356.0,150617.0,557056.0,approve-all,0.7051,0.1211,-0.0017,-171.1,0.809,0.173,0.018
0.25,0.05,0.6,60.0,179280.0,252386.0,177869.0,165027.0,641356.0,approve-all,0.7205,0.114,-0.0022,-178.3,0.765,0.213,0.022
0.25,0.05,0.775,15.0,122431.0,221426.0,120286.0,113000.0,514906.0,approve-all,0.7622,0.1923,-0.0042,-118.0,0.801,0.185,0.013
0.25,0.05,0.775,30.0,128211.0,231746.0,126098.0,118722.0,557056.0,approve-all,0.7698,0.1859,-0.0038,-118.7,0.768,0.217,0.015
0.25,0.05,0.775,60.0,137537.0,252386.0,143283.0,128057.0,641356.0,approve-all,0.7856,0.1791,0.009,-118.6,0.717,0.266,0.017
0.25,0.05,0.95,15.0,84625.0,221426.0,85240.0,73639.0,514906.0,approve-all,0.8357,0.2657,0.0012,-137.4,0.761,0.23,0.009
0.25,0.05,0.95,30.0,87101.0,231746.0,92219.0,76301.0,557056.0,approve-all,0.8436,0.2597,0.0092,-135.1,0.724,0.266,0.01
0.25,0.05,0.95,60.0,89719.0,252386.0,100326.0,81026.0,641356.0,approve-all,0.8601,0.2536,0.0165,-108.7,0.674,0.315,0.011
0.25,0.125,0.6,15.0,185672.0,221426.0,185663.0,171693.0,514906.0,approve-all,0.6394,0.0694,-0.0,-174.8,0.908,0.075,0.017
0.25,0.125,0.6,30.0,195232.0,231746.0,191040.0,180209.0,557056.0,approve-all,0.6495,0.0655,-0.0075,-187.9,0.893,0.088,0.019
0.25,0.125,0.6,60.0,212949.0,252386.0,208687.0,198765.0,641356.0,approve-all,0.668,0.0615,-0.0066,-177.4,0.871,0.106,0.023
0.25,0.125,0.775,15.0,155808.0,221426.0,152526.0,148142.0,514906.0,approve-all,0.6974,0.1274,-0.0064,-95.9,0.879,0.108,0.014
0.25,0.125,0.775,30.0,162395.0,231746.0,160812.0,155018.0,557056.0,approve-all,0.7085,0.1245,-0.0028,-92.3,0.868,0.117,0.015
0.25,0.125,0.775,60.0,176950.0,252386.0,176534.0,167548.0,641356.0,approve-all,0.7241,0.1176,-0.0006,-117.6,0.847,0.135,0.017
0.25,0.125,0.95,15.0,121258.0,221426.0,121340.0,109490.0,514906.0,approve-all,0.7645,0.1945,0.0002,-147.2,0.87,0.121,0.01
